Rk_x,Player,Tm,Predicted Receiving Yards,Predicted Receiving Touchdowns,Predicted Receiving Fumbles,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Rk_y,FantPt,FanPosRank,FanOvRank
143,Todd Gurley,LAR,162.2015659,1.239010736,1.332816859,25,RB,15,15,49,31,0.63,207,6.7,2,8,23,4.2,2.1,13.8,3,24,188,12,24
144,Blake Jarwin,DAL,280.7845603,2.032008356,0.581076706,25,te,16,7,41,31,0.76,365,11.8,3,17,42,8.9,1.9,22.8,1,202,55,25,
145,Olabisi Johnson,MIN,231.7790136,1.979150232,0.42111148,22,wr,16,6,45,31,0.69,294,9.5,3,17,23,6.5,1.9,18.4,0,224,48,87,
146,Ronald Jones,TAM,234.5393095,1.023227834,1.132787486,22,RB,16,9,40,31,0.78,309,10,0,12,41,7.7,1.9,19.3,3,98,135,27,
147,Kaden Smith,NYG,270.3845137,1.959234519,0.765963574,22,te,9,6,42,31,0.74,268,8.6,3,12,32,6.4,3.4,29.8,2,235,45,37,
148,Willie Snead,BAL,261.9239033,2.453967919,0.476665821,27,WR,16,11,46,31,0.67,339,10.9,5,20,50,7.4,1.9,21.2,0,185,64,72,
149,Giovani Bernard,CIN,190.1817573,1.198649781,0.668883415,28,rb,16,2,43,30,0.7,234,7.8,0,7,35,5.4,1.9,14.6,2,254,38,74,
150,Kendrick Bourne,SFO,274.6576485,2.434294546,0.489506938,24,,16,0,44,30,0.68,358,11.9,5,23,30,8.1,1.9,22.4,0,175,68,69,
151,Ted Ginn,NOR,319.6653182,1.820895247,0.45866502,34,WR,16,9,56,30,0.54,421,14,2,20,45,7.5,1.9,26.3,0,198,56,78,
152,Kelvin Harmon,WAS,282.0487605,1.342132161,0.384576362,23,WR,16,8,44,30,0.68,365,12.2,0,16,30,8.3,1.9,22.8,0,259,37,98,
153,Hayden Hurst,BAL,270.021724,1.770730295,0.412140126,26,te,16,4,39,30,0.77,349,11.6,2,16,61,8.9,1.9,21.8,0,227,47,34,
154,Adam Thielen,MIN,383.2077699,2.689677268,0.603021113,29,WR,10,10,48,30,0.63,418,13.9,6,18,44,8.7,3,41.8,0,148,84,56,
155,Damien Williams,KAN,195.6393827,1.438605974,0.807766171,27,rb,11,6,37,30,0.81,213,7.1,2,10,32,5.8,2.7,19.4,1,113,111,34,
156,Phillip Dorsett,NWE,316.7046959,2.440173675,0.522979991,26,wr,14,4,54,29,0.54,397,13.7,5,17,58,7.4,2.1,28.4,0,167,72,65,
157,Taylor Gabriel,CHI,345.6789693,2.186043181,0.537421586,28,wr,9,7,48,29,0.6,353,12.2,4,17,53,7.4,3.2,39.2,0,188,61,74,
